gene	score_diamond	step_added
161725	0.07395323545405111	134
1046	0.07449700924415444	135
27287	0.07504078303425775	136
23252	0.07558455682436106	137
92552	0.07612833061446438	138
133746	0.0766721044045677	139
9306	0.07721587819467102	140
343637	0.07775965198477433	141
5897	0.07830342577487764	142
10428	0.07884719956498097	143
7844	0.07939097335508428	144
122706	0.12925523968308933	145
5689	0.04024215705133288	146
5691	0.00590654795279164	147
5698	0.0006089088566705565	148
5702	9.094020653564638e-05	149
51371	4.499756295515433e-05	150
5704	5.030016822536794e-05	151
6469	3.945384535601458e-06	152
4855	2.947099105280071e-05	153
134510	0.007153672603209035	154
388585	0.020515150718592935	155
23493	0.039205293320715914	156
26508	0.02102667177774469	157
4854	0.01120314862948971	158
3280	0.037295098376807896	159
3549	0.04109621206017803	160
84976	0.007812236507871702	161
54492	0.0660339955323452	162
54567	0.011579845012739851	163
3714	0.002701060239275547	164
28514	0.0008519192903330705	165
55851	0.01329564346568217	166
1840	0.023672152977891714	167
23220	0.008499793791984928	168
85455	0.0929853181076672	169
92737	0.09352909189777053	170
2619	0.09407286568787385	171
9253	0.09461663947797716	172
5883	0.10459637810582595	173
2178	0.048012373041829384	174
2188	0.0032623205248020976	175
8553	0.003316786808422616	176
135458	0.09733550842849374	177
57154	0.1098446793232783	178
4092	0.14552200180731079	179
4654	0.1119675508191052	180
79365	0.05164017096635706	181
4783	0.10005437737901034	182
7043	0.15091063235520025	183
23645	0.053228782882014616	184
650	0.03942771129914417	185
25928	0.1022294725394236	186
9350	0.10277324632952692	187
8975	0.1960100376263061	188
6478	0.10386079390973355	189
51001	0.19795969446895076	190
80351	0.19893363533784092	191
348110	0.1054921152800435	192
345643	0.20087974197075692	193
10309	0.10657966286025014	194
112398	0.20282348179718715	195
54583	0.20379446415797015	196
7428	0.0324711216746267	197
9978	0.08552951527153935	198
51138	0.06146903255275126	199
339745	0.0620356633987471	200
